Website,Institution,Category,State,City,ImageCount,LinkCount,FormCount,StylesheetCount,ScriptCount,CertificateInfo,HostInfo,Title,Description
https://elgin.edu/,Elgin Community College,College,IL,Elgin,14,112,0,4,13,,,,"At Elgin Community College, we commit to student success and empower students to reach their full potential through our dedicated faculty and programs."
https://fvtc.edu/,Fox Valley Technical College,College,WI,Appleton,11,165,1,5,11,,,,
https://gotoltc.edu/,Lakeshore Technical College,College,WI,Cleveland,22,113,0,4,25,,,,Welcome to Lakeshore College. We now offer Associates of Science and Associates of Art degrees. Save money and get your General Education credits before attending a 4-year college.
https://gustavus.edu/,Gustavus Adolphus College,College,MN,St. Peter,23,69,1,9,1,,,Gustavus Adolphus College,"Gustavus Adolphus College is a church-related, residential liberal arts college firmly rooted in its Swedish and Lutheran heritage."
https://illinois.edu/,University of Illinois Urbana-Champaign,College,IL,Urbana,12,176,1,3,15,,,,"Information for students, alumni, and parents from Illinois flagship public university, a world leader in research, teaching, and public engagement."
https://illinoisstate.edu/,Illinois State University,College,IL,Normal,17,141,1,3,5,,,,"Founded in 1857,  Illinois State University is a top ranked public university in the town of Normal. Explore ISU's 200+ programs and the Redbird community."
https://madisoncollege.edu/,Madison College,College,WI,Madison,20,181,2,2,12,,,,"Madison College provides top, hands-on training in 190+ degree and certificate programs at 7 local campuses with online, accelerated and part-time options. Consider dozens of direct college transfer options. Or simply take a class for fun!"
https://mnsu.edu/,Minnesota State University-Mankato,College,MN,Mankato,20,142,2,6,9,,,,"Your big ideas can become reality at Minnesota State Mankato, where you will find comprehensive support services, a wide variety of majors to explore and opportunities to excel in and out of the classroom."
https://r.umn.edu/,University of Minnesota-Rochester,College,MN,Rochester,9,114,0,33,24,,,,
https://twin-cities.umn.edu/,University of Minnesota-Twin Cities,College,MN,Twin Cities,12,90,2,6,32,,,,"The University of Minnesota, Twin Cities is among the nation’s top public research universities offering a wide range of undergraduate and graduate programs."
https://uiowa.edu/,University of Iowa,College,IA,Iowa City,11,84,1,27,10,,,,"Join a global community of renowned artists, pioneering scientists, and faculty dedicated to student success at the University of Iowa."
https://umdearborn.edu/,University of Michigan-Dearborn,College,MI,Dearborn,13,99,3,28,32,,,,
https://umich.edu/,University of Michigan-Ann Arbor,College,MI,Ann Arbor,38,83,1,7,9,,,,"A top-ranked public university, the University of Michigan has a tradition of excellence in research, learning and teaching, sports and the arts, and more."
https://wayne.edu/,Wayne State University,College,MI,Detroit,30,99,1,2,1,,,,
https://wmich.edu/,Western Michigan University,College,MI,Kalamazoo,14,82,2,5,7,,,,Western Michigan University is about more than book smarts. It’s about your potential and your pursuit of purpose.
https://www.anokaramsey.edu/,Anoka-Ramsey Community College,College,MN,Anoka,17,171,1,4,6,,,,Anoka-Ramsey Community College is a multi-campus institution and a member of the Minnesota State Colleges and Universities system.
https://www.bemidjistate.edu/,Bemidji State University,College,MN,Bemidji,12,73,2,4,6,,,,Bemidji State University offers an immersive education that goes beyond the classroom. Build your career with our 70+ undergrad programs and 8 grad degrees.
https://www.briarcliff.edu/,Briar Cliff University,College,IA,Sioux City,1,300,1,4,0,,,Briar Cliff University,"The lifelong learning place, preparing ethical world changers."
https://www.central.edu/,Central College,College,IA,Pella,6,257,2,9,6,,,,"Central College in Pella, Iowa - Founded in 1853"
https://www.cmich.edu/,Central Michigan University,College,MI,Mount Pleasant,22,160,1,6,15,,,,"CMU is a public research university in Michigan that offers degree programs in Mount Pleasant, online and locations across North America. Est. 1892."
https://www.cod.edu/,College of DuPage,College,IL,College of DuPage,28,169,2,5,17,,,,
https://www.cornellcollege.edu/,Cornell College,College,IA,Mount Vernon,0,0,0,0,0,,,,
https://www.crk.umn.edu/,University of Minnesota-Crookston,College,MN,Crookston,13,358,1,4,8,,,,
https://www.d.umn.edu/,University of Minnesota-Duluth,College,MN,Duluth,17,66,1,3,4,,,,"The University of Minnesota Duluth Homepage: an overview of academic programs, campus life, resources, news and events, with extensive links to other web sites located throughout the University."
https://www.depaul.edu/,DePaul University,College,IL,Chicago,5,162,1,12,26,,,,
https://www.dmacc.edu/,Des Moines Area Community College,College,IA,Des Moines,12,117,1,20,16,,,,
https://www.dordt.edu/,Dordt University,College,IA,Sioux Center,68,169,1,2,3,,,,"Dordt University is a Christian college located in Sioux Center, Iowa, offering 40+ degrees and ranked #1 for student engagement by the WSJ."
https://www.eiu.edu/,Eastern Illinois University,College,IL,Charleston,26,143,1,4,4,,,,
https://www.ferris.edu/,Ferris State University,College,MI,Big Rapids,10,160,1,10,15,,,,
